course_name,course_subjects
Software Development,"Communications SD, Fundamentals of Object Oriented Programming, Software Architecture, Software Testing, Mobile Technologies, Programming Principles & Design, Work Experience SD, Maths for IT SD"
Games Development,"Animation Drawing Studies, Communications GD, Computer 3D Modelling and Animation, Computer Illustrated Graphics, Design Skills, Games Analysis & Design, Programming & Design Principles, Work Experience GD"
Law with Criminology,"Legal Practice and Procedures, Conflict Resolution, Word Processing, Communications, Work Experience LWC, Business Law, Criminal Law, Criminology, Family Law"
